Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Prev Close,Var%,Var_from_Ini_%,Profit/Loss,Present_Value,Invested,OK,Adj Close
2020-08-03,188.12,190.46,188.12,190.86,242.0,0.0,0.0,188.14,1.4457319017752823,-14.104410441044093,-221.21000000000004,1336.02,1557.23,True,
2020-08-04,191.54,191.54,190.3,191.02,522.0,0.0,0.0,190.86,0.08383108037304243,-14.032403240324024,-220.08999999999992,1337.14,1557.23,True,
2020-08-05,192.0,193.14,192.0,193.42,386.0,0.0,0.0,191.02,1.2564129410532754,-12.952295229522953,-203.2900000000002,1353.9399999999998,1557.23,True,
2020-08-06,192.0,192.8,192.0,192.62,129.0,0.0,0.0,193.42,-0.41360769310307965,-13.312331233123306,-208.88999999999987,1348.3400000000001,1557.23,True,
2020-08-07,191.98,193.58,191.84,193.38,247.0,0.0,0.0,192.62,0.3945592358010508,-12.970297029702968,-203.57000000000016,1353.6599999999999,1557.23,True,
2020-08-10,194.62,194.62,193.62,193.9,101.0,0.0,0.0,193.38,0.2689006101975533,-12.73627362736273,-199.93000000000006,1357.3,1557.23,True,
2020-08-11,193.9,193.9,193.9,193.9,0.0,0.0,0.0,193.9,0.0,-12.73627362736273,-199.93000000000006,1357.3,1557.23,True,
2020-08-12,198.0,198.02,198.0,198.06,79.0,0.0,0.0,193.9,2.145435791645167,-10.864086408640858,-170.80999999999995,1386.42,1557.23,True,
2020-08-13,198.42,198.42,198.42,198.32,103.0,0.0,0.0,198.06,0.13127335150964203,-10.747074707470745,-168.99,1388.24,1557.23,True,
2020-08-14,194.62,194.62,194.62,196.12,57.0,0.0,0.0,198.32,-1.1093182734973728,-11.73717371737173,-184.38999999999987,1372.8400000000001,1557.23,True,
2020-08-17,195.82,196.66,195.82,196.52,77.0,0.0,0.0,196.12,0.20395676116664596,-11.557155715571547,-181.58999999999992,1375.64,1557.23,True,
2020-08-18,196.52,196.52,196.52,196.52,0.0,0.0,0.0,196.52,0.0,-11.557155715571547,-181.58999999999992,1375.64,1557.23,True,
2020-08-19,195.6,196.0,195.6,196.16,10.0,0.0,0.0,196.52,-0.18318746183595414,-11.719171917191716,-184.11000000000013,1373.12,1557.23,True,
2020-08-20,194.8,194.94,194.34,194.82,142.0,0.0,0.0,196.16,-0.683115823817293,-12.32223222322232,-193.49,1363.74,1557.23,True,
2020-08-21,194.84,194.84,193.46,194.48,90.0,0.0,0.0,194.82,-0.17452006980802626,-12.475247524752476,-195.87000000000012,1361.36,1557.23,True,
2020-08-24,197.0,197.3,197.0,197.22,2.0,0.0,0.0,194.48,1.4088852324146472,-11.242124212421238,-176.69000000000005,1380.54,1557.23,True,
2020-08-25,197.62,197.62,196.86,196.92,40.0,0.0,0.0,197.22,-0.15211439002129623,-11.377137713771377,-178.7900000000002,1378.4399999999998,1557.23,True,
2020-08-26,196.32,197.64,196.32,198.46,70.0,0.0,0.0,196.92,0.7820434694292278,-10.684068406840677,-168.01,1389.22,1557.23,True,
2020-08-27,198.46,198.46,198.46,198.46,0.0,0.0,0.0,198.46,0.0,-10.684068406840677,-168.01,1389.22,1557.23,True,
2020-08-28,196.76,197.34,196.76,197.12,6.0,0.0,0.0,198.46,-0.6751990325506441,-11.287128712871281,-177.38999999999987,1379.8400000000001,1557.23,True,
