Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Prev Close,Var%,Var_from_Ini_%,Profit/Loss,Present_Value,Invested,OK
2020-06-17,53.37,53.88,53.36,53.59,75055,0,0,53.3,0.5440900562851958,25.798122065727704,414.8100000000002,1929.2400000000002,1514.43,True
2020-06-18,53.26,53.55,52.93,53.37,113706,0,0,53.59,-0.41052435155813916,25.281690140845058,406.8899999999999,1921.32,1514.43,True
2020-06-19,53.61,53.97,53.55,53.78,31382,0,0,53.37,0.7682218474798663,26.24413145539906,421.64999999999986,1936.08,1514.43,True
2020-06-22,53.02,53.41,52.86,53.12,73691,0,0,53.78,-1.2272220156192004,24.694835680751165,397.8899999999999,1912.32,1514.43,True
2020-06-23,53.38,53.75,53.35,53.58,76973,0,0,53.12,0.8659638554216809,25.774647887323937,414.4499999999998,1928.8799999999999,1514.43,True
2020-06-24,53.28,53.41,52.24,52.24,80515,0,0,53.58,-2.500933184023879,22.62910798122066,366.21000000000004,1880.64,1514.43,True
2020-06-25,52.08,52.56,51.76,52.46,106634,0,0,52.24,0.42113323124042257,23.145539906103284,374.1299999999999,1888.56,1514.43,True
2020-06-26,52.95,53.1,52.1,52.23,61981,0,0,52.46,-0.4384292794510136,22.60563380281689,365.8499999999999,1880.28,1514.43,True
2020-07-09,53.8,53.99,53.2,53.32,83000,0,0,52.23,2.086923224200654,25.16431924882629,405.0899999999999,1919.52,1514.43,True
2020-07-10,53.48,53.88,53.39,53.83,84950,0,0,53.32,0.9564891222805683,26.361502347417833,423.4499999999998,1937.8799999999999,1514.43,True
2020-07-13,54.41,54.67,54.26,54.64,67531,0,0,53.83,1.5047371354263372,28.262910798122064,452.6099999999999,1967.04,1514.43,True
2020-07-14,53.85,53.87,53.13,53.63,137195,0,0,54.64,-1.8484626647144897,25.892018779342724,416.25,1930.68,1514.43,True
2020-07-15,54.26,54.69,54.14,54.47,48776,0,0,53.63,1.5662875256386322,27.86384976525821,446.49,1960.92,1514.43,True
2020-07-16,54.23,54.3,54.04,54.09,49708,0,0,54.47,-0.6976317238846952,26.971830985915496,432.8100000000002,1947.2400000000002,1514.43,True
2020-07-17,54.33,54.4,54.08,54.3,44030,0,0,54.09,0.38824181919021594,27.464788732394357,440.3699999999999,1954.8,1514.43,True
2020-07-20,54.0,54.6,53.9,54.56,111169,0,0,54.3,0.47882136279926435,28.075117370892023,449.73,1964.16,1514.43,True
2020-07-21,54.99,55.3,54.83,54.89,58121,0,0,54.56,0.6048387096774244,28.84976525821596,461.6099999999999,1976.04,1514.43,True
2020-07-22,54.53,54.58,54.09,54.26,87516,0,0,54.89,-1.1477500455456369,27.370892018779337,438.92999999999984,1953.36,1514.43,True
2020-07-23,54.62,54.77,54.3,54.4,81752,0,0,54.26,0.2580169553999312,27.69953051643192,443.9699999999998,1958.3999999999999,1514.43,True
2020-07-24,53.42,53.75,53.21,53.34,76080,0,0,54.4,-1.948529411764699,25.211267605633807,405.8100000000002,1920.2400000000002,1514.43,True
2020-07-27,53.23,53.3,52.97,53.0,59555,0,0,53.34,-0.637420322459703,24.4131455399061,393.56999999999994,1908.0,1514.43,True
2020-07-28,53.33,53.44,53.07,53.35,28612,0,0,53.0,0.6603773584905603,25.234741784037556,406.1700000000001,1920.6000000000001,1514.43,True
2020-07-29,53.13,53.3,53.02,53.27,46584,0,0,53.35,-0.1499531396438547,25.046948356807512,403.28999999999996,1917.72,1514.43,True
2020-07-30,53.24,53.24,52.3,52.76,123183,0,0,53.27,-0.9573868969401267,23.849765258215953,384.92999999999984,1899.36,1514.43,True
2020-07-31,52.68,53.0,52.34,52.56,234858,0,0,52.76,-0.37907505686125553,23.380281690140848,377.73,1892.16,1514.43,True
2020-08-03,53.0,53.77,52.94,53.74,80730,0,0,52.56,2.2450532724505257,26.15023474178404,420.21000000000004,1934.64,1514.43,True
2020-08-04,53.82,53.84,53.38,53.74,49591,0,0,53.74,0.0,26.15023474178404,420.21000000000004,1934.64,1514.43,True
2020-08-05,53.87,53.95,53.61,53.69,38175,0,0,53.74,-0.09304056568664176,26.03286384976525,418.40999999999985,1932.84,1514.43,True
2020-08-06,53.68,53.92,53.5,53.7,30217,0,0,53.69,0.018625442354269772,26.05633802816902,418.77,1933.2,1514.43,True
